,title,runtime,maturity,studio,Genre,avg_votes,votes,country
1199,Repo! The Genetic Opera,97.0,18+,Lionsgate Films,Horror,6.6,23253.0,USA
1201,Hatchet,84.0,18+,Anchor Bay Entertainment,Horror,5.7,28336.0,USA
1207,The Descent,98.0,18+,Lionsgate,Horror,7.2,196964.0,UK
1208,Manborg,71.0,18+,Dark Sky Films,Horror,5.5,2376.0,Canada
1209,Lifeforce,116.0,18+,TriStar Pictures,Horror,6.2,21808.0,"UK, USA"
1211,Mirrors,90.0,16+,Buena Vista,Horror,6.2,100915.0,"USA, Romania, Germany"
1221,Southbound,89.0,18+,Studio Not Available,Horror,5.9,16142.0,USA
1235,Jinn,97.0,13+,Freestyle Releasing,Horror,5.5,297.0,USA
1237,Harbinger Down,81.0,18+,Vertical Entertainment,Horror,4.5,5552.0,USA
1257,Click,107.0,13+,Sony Pictures Releasing,Kids&Family,3.5,307.0,India
1268,Snow Day,89.0,7+,Paramount Pictures,Kids&Family,5.1,11354.0,USA
1275,The Muppets Take Manhattan,94.0,All,Sony Pictures Home Entertainment,Kids&Family,6.9,19073.0,USA
1324,High Noon,84.0,7+,United Artists,Mystery,7.9,95573.0,USA
1328,Cold Skin,106.0,16+,Samuel Goldwyn Films,Mystery,6.0,11544.0,"Spain, France"
1351,The Core,134.0,13+,Paramount Pictures,Mystery,5.5,91958.0,"USA, Germany, Canada, UK, Italy, France"
1393,Anna,98.0,18+,Vertical Entertainment,Mystery,6.6,55206.0,"France, USA, Canada, Russia"
1403,I Still See You,98.0,13+,Lionsgate,Mystery,5.8,7894.0,USA
1439,Be Afraid,96.0,18+,DarkShed,Mystery,4.8,1861.0,USA
1476,Fargo,98.0,18+,MGM,Mystery,8.1,600952.0,"USA, UK"
1478,Straw Dogs,109.0,18+,Sony Pictures/Screen Gems,Mystery,5.8,32371.0,USA
1486,In Time,109.0,13+,20th Century Fox,Mystery,6.7,363670.0,USA
1490,The Reef,87.0,18+,Image Entertainment,Mystery,5.8,16905.0,Australia
1493,Look Away,103.0,18+,Vertical Entertainment,Mystery,5.9,13390.0,"USA, Canada"
1494,Next,96.0,13+,Paramount Pictures,Mystery,6.2,146484.0,USA
1496,Crawl,87.0,18+,Bloody Disgusting,Mystery,6.2,61874.0,"USA, Serbia, Canada"
1513,The Perfect Host,92.0,18+,Magnolia Pictures,Mystery,6.8,24441.0,USA
1528,Odd Thomas,96.0,16+,RLJ/Image Entertainment,Mystery,6.8,46873.0,"USA, UK"
1540,A Thousand Kisses Deep,84.0,16+,Tomori Films,Mystery,5.0,421.0,"UK, USA"
1555,Miss Sloane,132.0,18+,EuropaCorp,Mystery,7.5,61749.0,"France, USA, UK, Canada"
1641,Sense and Sensibility,136.0,7+,Columbia Pictures,Romance,7.6,99493.0,"USA, UK"
1666,Absolutely Anything,85.0,18+,Atlas Distribution,Romance,6.0,38716.0,UK
1689,Moonstruck,101.0,16+,MGM Home Entertainment,Romance,7.1,48440.0,USA
1690,Much Ado About Nothing,110.0,13+,Screenvision,Romance,8.6,556.0,UK
1768,Phase IV,83.0,16+,Paramount Pictures,SciFi,5.0,395.0,Canada
1775,Starcrash,91.0,13+,New World,SciFi,4.0,6086.0,"USA, Italy"
1817,Battle Beyond the Stars,102.0,13+,New World Pictures,SciFi,5.5,7793.0,USA
