Genre,Runtime,Studio,movienane,year
Action,93 minutes,Paramount/Dreamworks,Madagascar 3: Europe's Most Wanted,2012
Action,122 minutes,China Lion Films,The Viral Factor,2012
Action,129 minutes,Warner Home Video,The Colossus of Rhodes,1961
Action,131 minutes,Tartan Films,The Hidden Blade,2006
Action,72 minutes,Criterion Collection,The Tale of Zatoichi Continues (Zoku Zatichi monogatari),1962
Action,99 minutes,Lionsgate Pictures,American Ultra,2015
Action,91 minutes,Miramax,Xing xing wang (The Mighty Peking Man) (Colossus of Congo) (Goliathon),1978
Action,90 minutes,Independent Pictures,Craigslist Joe,2012
Action,98 minutes,American Zoetrope,Last Days In The Desert,2016
Action,113 minutes,Lionsgate Films,The Impossible,2012
Action,123 minutes,Warner Bros. Pictures,Suicide Squad,2016
Action,117 minutes,Sony Pictures Entertainment,Casey's Shadow,1978
Action,122 minutes,Universal Pictures,End of Days,1999
Action,111 minutes,Buena Vista Pictures,The Straight Story,1999
Action,100 minutes,Miramax Films,Twin Dragons (Shuang long hui) (Brother vs. Brother),1992
Action,88 minutes,Screen Gems,Underworld: Awakening,2012
Action,112 minutes,Columbia Pictures,Jumanji: Welcome to the Jungle,2017
Action,114 minutes,Focus Features,Trash,2015
Action,114 minutes,20th Century Fox,The Maze Runner,2014
Action,87 minutes,New World Video,Lust in the Dust,1985
Action,93 minutes,Miramax,That's the Way I Like It,1999
Action,101 minutes,Music Box Films,OSS 117: Rio ne rpond plus (Lost in Rio),2010
Action,95 minutes,RKO Pictures,Shade,2003
Action,161 minutes,United Artists,"It's a Mad, Mad, Mad, Mad World",1963
Action,113 minutes,Summit Entertainment,Criminal,2016
Action,87 minutes,Columbia Pictures,The One,2001
Action,106 minutes,Artisan Entertainment,Suicide Kings,1997
Action,114 minutes,Warner Bros.,Jack the Giant Slayer,2013
Action,108 minutes,Shudder and NEON,Revenge,2018
Action,100 minutes,Buena Vista,Sky High,2005
Action,79 minutes,United Artists,Africa Screams,1949
Action,106 minutes,Warner Bros.,Taking Lives,2004
Action,103 minutes,Paramount Pictures,Elephant Walk,1954
Action,140 minutes,Universal Pictures,Furious 7,2015
Action,90 minutes,Relativity Media,Brick Mansions,2014
Action,72 minutes,WARNER BROTHERS PICTURES,Son of Batman,2014
Action,94 minutes,Anchor Bay Entertainment,Bait,2012
Action,97 minutes,Relativity Media,Jane Got a Gun,2016
Action,80 minutes,Bleiberg Entertainment,Close Range,2015
Action,89 minutes,Relativity Media,Earth to Echo,2014
Action,108 minutes,Miramax,The Accidental Spy (Te wu mi cheng),2001
Action,108 minutes,Warner Home Video,Jeremiah Johnson,1972
Action,100 minutes,Fox Network,24: Redemption,2008
Action,124 minutes,WARNER BROTHERS PICTURES,Air Force,1943
